"set" "keygene" "nbexon" "map" "phys" "GC_total.mean" "GC_total.sd" "GC3.mean" "GC3.sd" "loess-2" "loess"
"Zea" "AC149475.2_FGT002.v6a" 5 "9" 152753269 53.4633890946933 8.74258525047862 67.7726104053237 27.2445808753986 NA NA
"Zea" "AC149475.2_FGT003.v6a" 9 "9" 152759179 50.6004483592273 7.66440419358583 57.5725434153367 24.2801649443268 NA NA
"Zea" "AC149475.2_FGT004.v6a" 6 "9" 152763574 54.202486804296 13.6291431463787 60.4227569815805 21.6483190768131 NA NA
"Zea" "AC149475.2_FGT005.v6a" 7 "9" 152796578.5 43.1771391350506 10.1603893576783 39.5887798679674 13.3612665616047 NA NA
"Zea" "AC149475.2_FGT007.v6a" 1 "9" 152822866.5 70.7533234859675 NA 93.7777777777778 NA NA NA
"Zea" "AC149810.2_FGT003.v6a" 14 "9" 151855991 44.0077153836588 3.91211513177091 42.3096260861944 8.43797385693554 NA NA
"Zea" "AC149810.2_FGT004.v6a" 1 "9" 151864015.5 70.7882534775889 NA 90.6976744186046 NA NA NA
"Zea" "AC149810.2_FGT008.v6a" 6 "9" 151898800 67.7471279889517 4.82671212631233 89.471731904366 11.2915519303117 NA NA
"Zea" "AC149818.2_FGT001.v6a" 6 "9" 152683896 45.585290625124 10.8123675707722 47.8159024685904 15.5727167974968 NA NA
"Zea" "AC149818.2_FGT004.v6a" 3 "9" 152703398 63.4598175873344 10.0208773444949 96.0392156862745 3.43064418039862 NA NA
"Zea" "AC149818.2_FGT005.v6a" 3 "9" 152708313.5 62.1034625533348 9.54590333455429 76.23271255697 8.94398433498234 NA NA
"Zea" "AC149818.2_FGT006.v6a" 6 "9" 152710651.5 47.0832467407934 5.89212431851981 54.227731257515 17.7272352635456 NA NA
"Zea" "AC149818.2_FGT007.v6a" 1 "9" 152720591.5 67.2614429790535 NA 78.3216783216783 NA NA NA
"Zea" "AC149818.2_FGT008.v6a" 3 "9" 152727555.5 64.7905714412746 15.8942831525952 70.6605312208761 30.5613747676249 NA NA
"Zea" "AC149818.2_FGT009.v6a" 2 "9" 152747820.5 69.9807695609622 2.77422948612018 94.5964967156709 4.567330319519 NA NA
"Zea" "AC149828.2_FGT002.v6a" 7 "9" 150687686.5 52.2914032347895 9.68338277064032 57.9746302029584 24.2500548203478 7.52 7.52
"Zea" "AC149828.2_FGT004.v6a" 1 "9" 150753784 79.0816326530612 NA 96.9465648854962 NA 7.51 7.51
"Zea" "AC149828.2_FGT005.v6a" 1 "9" 150775034.5 63.5187580853816 NA 63.1782945736434 NA 7.5 7.5
"Zea" "AC149829.2_FGT002.v6a" 1 "9" 151383058 72.0472440944882 NA 94.0476190476191 NA NA NA
"Zea" "AC149829.2_FGT003.v6a" 5 "9" 151386513 45.2132911114559 7.33306996456356 49.1461921012727 15.2280364372518 NA NA
"Zea" "AC149829.2_FGT004.v6a" 2 "9" 151396071.5 66.5311004784689 1.0488186706595 93.4444444444445 6.44252845081076 NA NA
"Zea" "AC149829.2_FGT006.v6a" 1 "9" 151416473 56.6096423017107 NA 67.2897196261682 NA NA NA
"Zea" "AC150739.3_FGT001.v6a" 5 "9" 155451943 53.1493962350777 10.8081766414195 50.635534890466 17.4842033022551 NA NA
"Zea" "AC177910.2_FGT004.v6a" 2 "9" 62286182.5 56.114364201547 2.56915975004959 56.8027210884354 13.9497256152448 0.01 0.01
"Zea" "AC183926.3_FGT003.v6a" 1 "9" 79934413.5 58.0327868852459 NA 67.3267326732673 NA 0.14 0.14
"Zea" "AC183926.3_FGT005.v6a" 2 "9" 79897465 64.9479166666667 1.25216825835115 75.7142857142857 6.06091526731328 0.14 0.14
"Zea" "AC183944.4_FGT002.v6a" 2 "9" 81800968 52.2058823529412 3.11958874052892 61.9652406417112 2.36332480343097 0.17 0.17
"Zea" "AC183944.4_FGT003.v6a" 9 "9" 81894188.5 56.8057979024842 3.08186109542321 58.6994064358273 4.49238625656621 0.17 0.17
"Zea" "AC184133.3_FGT001.v6a" 4 "9" 73618234 48.7452156975857 13.0631706001359 56.4358703312192 14.4345598408036 0.07 0.07
"Zea" "AC184133.3_FGT004.v6a" 5 "9" 73674775 49.4817915807873 7.62680373688418 62.9216829206599 15.2727175182587 0.07 0.07
"Zea" "AC184832.2_FGT001.v6a" 1 "9" 54096559.5 62.0689655172414 NA 66.1764705882353 NA -0.08 -0.08
"Zea" "AC184832.2_FGT002.v6a" 1 "9" 54060140 64.030612244898 NA 64.6153846153846 NA -0.08 -0.08
"Zea" "AC184851.4_FGT005.v6a" 1 "9" 56117836 73.4939759036145 NA 77.2727272727273 NA -0.08 -0.08
