"set" "keygene" "nbexon" "map" "phys" "GC_total.mean" "GC_total.sd" "GC3.mean" "GC3.sd" "loess"
"Oryza" "LOC_Os07g01010.1.MSUv7.0" 3 7 2748 42.6761080818012 5.74190870248794 53.5338144881048 5.95472274428486 NA
"Oryza" "LOC_Os07g01020.1.MSUv7.0" 1 7 12415 69.8744769874477 NA 94.9685534591195 NA NA
"Oryza" "LOC_Os07g01030.1.MSUv7.0" 10 7 19307 48.5679731822254 7.70304360567331 48.0408953579332 15.2402159221566 NA
"Oryza" "LOC_Os07g01060.1.MSUv7.0" 5 7 39066.5 55.0290650720605 12.5128026865709 55.8571173817977 24.5337498841424 NA
"Oryza" "LOC_Os07g01060.2.MSUv7.0" 3 7 40934.5 46.4641876151119 4.1924636164045 38.5290556900726 3.446511379597 NA
"Oryza" "LOC_Os07g01070.1.MSUv7.0" 1 7 43546 67.8114086146682 NA 94.7643979057592 NA NA
"Oryza" "LOC_Os07g01080.1.MSUv7.0" 3 7 45849 55.783196469471 5.17526774976249 58.7145969498911 10.6514560051587 NA
"Oryza" "LOC_Os07g01090.1.MSUv7.0" 7 7 51069 45.0855362830361 6.02206270049219 46.9569713059368 16.9569931254515 NA
"Oryza" "LOC_Os07g01100.1.MSUv7.0" 2 7 57300.5 50.0729890264774 25.8161959324778 63.2890365448505 28.8950611581213 NA
"Oryza" "LOC_Os07g01100.2.MSUv7.0" 1 7 57636.5 67.8298800436205 NA 83.6065573770492 NA NA
"Oryza" "LOC_Os07g01110.1.MSUv7.0" 2 7 59735 58.1786778101535 13.4436717217172 71.1133151500124 31.7698360404172 NA
"Oryza" "LOC_Os07g01114.1.MSUv7.0" 2 7 67482 56.4391729859356 5.5453963655177 62.3090481786134 11.2588682550855 NA
"Oryza" "LOC_Os07g01120.1.MSUv7.0" 2 7 70490.5 57.0712480773457 6.81508925286634 61.3811058765188 2.71761842509086 NA
"Oryza" "LOC_Os07g01130.1.MSUv7.0" 11 7 77731 43.5406019574288 6.00429156265932 44.2373161330266 12.637450443024 NA
"Oryza" "LOC_Os07g01140.1.MSUv7.0" 4 7 84170 53.5339718288423 10.7766247213726 58.9333531740169 27.8819648197905 NA
"Oryza" "LOC_Os07g01150.1.MSUv7.0" 6 7 89343.5 50.8803138047642 6.88710245731299 66.6902446212791 15.0937803311392 NA
"Oryza" "LOC_Os07g01160.1.MSUv7.0" 2 7 101328 59.0232231721322 6.10564193988688 57.8314659197012 6.0246025941431 NA
"Oryza" "LOC_Os07g01170.1.MSUv7.0" 2 7 105028 63.3103119790427 17.7357671337383 75.3894080996885 12.3358192356532 NA
"Oryza" "LOC_Os07g01180.1.MSUv7.0" 1 7 109754.5 60.1390498261877 NA 62.5 NA NA
"Oryza" "LOC_Os07g01190.1.MSUv7.0" 2 7 113865 61.7105373812126 9.01500193658067 61.8920972644377 11.7672025136667 NA
"Oryza" "LOC_Os07g01230.1.MSUv7.0" 3 7 130043.5 61.8208806808346 13.4406819712744 67.4790591846402 22.7451686927434 NA
"Oryza" "LOC_Os07g01240.2.MSUv7.0" 5 7 139511.5 53.5441299746822 12.8651484104803 64.5564320503345 19.996399826326 NA
"Oryza" "LOC_Os07g01250.1.MSUv7.0" 10 7 148752.5 47.5718040780274 8.49531773958677 56.8551903847001 13.6762329617498 NA
"Oryza" "LOC_Os07g01260.1.MSUv7.0" 8 7 156817 55.7275486924261 8.71185027910779 71.5944785638372 13.2240898624372 NA
"Oryza" "LOC_Os07g01260.2.MSUv7.0" 7 7 156817 55.7858915147484 9.40818552683255 72.2984516920044 14.1208090630963 NA
"Oryza" "LOC_Os07g01270.1.MSUv7.0" 22 7 166875.5 36.5358622470102 4.07291727622275 29.6252818851057 11.0663502044589 NA
"Oryza" "LOC_Os07g01280.1.MSUv7.0" 6 7 175496.5 42.6364760715444 9.71371617173675 37.4285008442705 20.5225776720303 NA
"Oryza" "LOC_Os07g01300.1.MSUv7.0" 2 7 182837 48.8223552894212 6.37948632926782 61.1711711711712 26.6279850933313 NA
"Oryza" "LOC_Os07g01310.1.MSUv7.0" 3 7 193868 66.6611619826631 1.94458631556508 93.7678367726677 2.90083568720743 NA
"Oryza" "LOC_Os07g01320.1.MSUv7.0" 8 7 198328.5 55.3804579162953 12.3627637701293 61.9768460386027 17.8384960527867 NA
"Oryza" "LOC_Os07g01360.1.MSUv7.0" 3 7 231711.5 37.2862051473473 5.91627946797781 38.1091458388975 12.5819508475732 NA
"Oryza" "LOC_Os07g01370.1.MSUv7.0" 2 7 236551 67.0914846984334 1.3431527461454 96.1026572791278 1.1434477133882 NA
"Oryza" "LOC_Os07g01380.1.MSUv7.0" 3 7 240230 61.6163210723929 13.233892492124 69.6057665703027 22.7174589566365 NA
"Oryza" "LOC_Os07g01400.1.MSUv7.0" 1 7 253342.5 69.4947569113441 NA 92.2857142857143 NA NA
"Oryza" "LOC_Os07g01410.1.MSUv7.0" 3 7 261115.5 65.537057337695 3.23712575370012 87.9605678602334 11.6786011335792 3.44
"Oryza" "LOC_Os07g01420.1.MSUv7.0" 3 7 265087.5 65.9518345731938 2.09445345836566 94.6586263977568 1.83408399045718 3.45
"Oryza" "LOC_Os07g01440.1.MSUv7.0" 2 7 291434.5 67.0472365653089 5.02777397676722 85.080507022953 5.83805187618908 3.5
"Oryza" "LOC_Os07g01450.1.MSUv7.0" 3 7 293684 52.6771336553945 3.73534799554125 50.9344598054275 7.76036932238558 3.5
"Oryza" "LOC_Os07g01460.1.MSUv7.0" 3 7 300492.5 59.3212611823666 6.77087143081792 81.3234084484695 12.310396563473 3.51
"Oryza" "LOC_Os07g01470.1.MSUv7.0" 1 7 303106.5 71.9587628865979 NA 77.7777777777778 NA 3.52
"Oryza" "LOC_Os07g01480.1.MSUv7.0" 2 7 306485 60.7279914480616 8.92822303756915 78.6930447370235 3.23649895021618 3.52
"Oryza" "LOC_Os07g01480.2.MSUv7.0" 2 7 306485 65.5205992509364 2.15045208360856 86.7097098775784 14.5737755169925 3.52
"Oryza" "LOC_Os07g01520.1.MSUv7.0" 1 7 327959 62.847790507365 NA 91.9018404907975 NA 3.56
"Oryza" "LOC_Os07g01530.1.MSUv7.0" 1 7 334102 63.3286318758815 NA 87.7118644067797 NA 3.58
"Oryza" "LOC_Os07g01560.1.MSUv7.0" 3 7 351494.5 63.2695275738754 1.86507289724878 89.2417355723622 10.5152146807873 3.61
"Oryza" "LOC_Os07g01560.2.MSUv7.0" 1 7 350001 64.4128113879004 NA 95.9893048128342 NA 3.61
"Oryza" "LOC_Os07g01570.1.MSUv7.0" 1 7 358692 75.1091703056769 NA 81.5789473684211 NA 3.62
"Oryza" "LOC_Os07g01580.1.MSUv7.0" 3 7 364570 58.7639510761923 12.6617504273071 66.4356816806907 10.4098765043543 3.64
"Oryza" "LOC_Os07g01590.1.MSUv7.0" 3 7 368173 53.1186110040855 12.3215215003253 69.9499787143465 19.9346274359542 3.64
"Oryza" "LOC_Os07g01620.1.MSUv7.0" 2 7 384263 70.0973999839009 1.40248821447608 91.033681765389 5.9459385549252 3.67
"Oryza" "LOC_Os07g01660.1.MSUv7.0" 1 7 405122.5 69.811320754717 NA 94.7598253275109 NA 3.72
"Oryza" "LOC_Os07g01670.1.MSUv7.0" 1 7 407488.5 61.576354679803 NA 55.2238805970149 NA 3.72
"Oryza" "LOC_Os07g01680.1.MSUv7.0" 1 7 413258 70.8459214501511 NA 94.5454545454545 NA 3.73
"Oryza" "LOC_Os07g01690.1.MSUv7.0" 2 7 415077 53.5124692658939 32.1637963342669 58.3561643835616 25.9595366243828 3.74
"Oryza" "LOC_Os07g01700.1.MSUv7.0" 2 7 419197 49.3734020704975 4.11360162742325 58.7878787878788 1.71419825742192 3.75
"Oryza" "LOC_Os07g01710.1.MSUv7.0" 1 7 426575.5 57.6118442227229 NA 70.8494208494209 NA 3.76
