"set" "keygene" "nbexon" "map" "phys" "GC_total.mean" "GC_total.sd" "GC3.mean" "GC3.sd" "loess-2" "loess"
"Zea" "AC155496.2_FGT009.v6a" 17 "5" 4782502 42.8850993896864 7.36029492567359 45.2472466246117 15.7117777530963 6.41 6.41
"Zea" "AC159612.1_FGT007.v6a" 3 "5" 4584177 69.0389966722743 2.66120807400159 88.6029115379556 4.05355841717505 6.47 6.47
"Zea" "AC182413.4_FGT002.v6a" 6 "5" 4213096 53.9173741750265 12.0386750839801 68.4546672105623 29.4941974803082 6.53 6.53
"Zea" "AC182413.4_FGT012.v6a" 1 "5" 4343721.5 51.9553072625698 NA 51.6666666666667 NA 6.52 6.52
"Zea" "AC182415.4_FGT001.v6a" 4 "5" 55378369.5 60.7020262485932 5.33931636365996 63.613419815212 8.9578884212666 0.33 0.33
"Zea" "AC182417.4_FGT004.v6a" 1 "5" 134277910.5 51.3715710723192 NA 60.1503759398496 NA -0.65 -0.65
"Zea" "AC182420.4_FGT001.v6a" 1 "5" 121965478 59.2105263157895 NA 63.4920634920635 NA -0.11 -0.11
"Zea" "AC183413.3_FGT006.v6a" 11 "5" 112081577 45.1524301016192 7.50744290004078 43.2294372294372 13.3379135234288 0.17 0.17
"Zea" "AC183811.3_FGT003.v6a" 6 "5" 43741304.5 43.4760283077954 6.42281424911266 46.1087926129583 12.6973945842342 0.4 0.4
"Zea" "AC183815.4_FGT004.v6a" 1 "5" 155275570 75.296442687747 NA 77.3809523809524 NA 0.64 0.64
"Zea" "AC183817.2_FGT002.v6a" 3 "5" 86374563 53.6274866369097 3.24993966739503 73.3901515151515 24.0729680550189 0.21 0.21
"Zea" "AC183818.2_FGT001.v6a" 2 "5" 25533968 55.3429027113237 1.12776201146185 64.5050125313283 3.67730970165934 0.34 0.34
"Zea" "AC183932.3_FGT004.v6a" 1 "5" 5552772.5 68.6567164179104 NA 73.2142857142857 NA 6.38 6.38
"Zea" "AC183932.3_FGT007.v6a" 5 "5" 5583396 57.9232229221927 8.56259137497996 78.7536347458247 15.3470742665255 6.4 6.4
"Zea" "AC183943.3_FGT001.v6a" 1 "5" 100194793 59.9489795918367 NA 61.0687022900763 NA 0.31 0.31
"Zea" "AC183956.3_FGT002.v6a" 1 "5" 5913605.5 56.2790697674419 NA 45.8333333333333 NA 6.52 6.52
"Zea" "AC183969.3_FGT001.v6a" 1 "5" 77637882 82.4675324675325 NA 83.495145631068 NA 0.27 0.27
"Zea" "AC183969.3_FGT003.v6a" 1 "5" 77733746.5 54.9488054607509 NA 60.8247422680412 NA 0.27 0.27
"Zea" "AC183969.3_FGT008.v6a" 5 "5" 77710164.5 43.4096167784117 4.23232759376816 50.8132798573975 13.3914926751637 0.27 0.27
"Zea" "AC184127.3_FGT003.v6a" 1 "5" 179840066 63.1578947368421 NA 64.2424242424242 NA 1.25 1.25
"Zea" "AC184129.2_FGT002.v6a" 2 "5" 64942932 60.7811753463927 4.17912607896684 63.344825109531 1.00050302301048 0.31 0.31
"Zea" "AC184131.5_FGT003.v6a" 1 "5" 195491697.5 63.1578947368421 NA 69.1588785046729 NA 1.37 1.37
"Zea" "AC184131.5_FGT010.v6a" 3 "5" 195629111 43.6137789729799 3.25511758301476 62.0018115942029 33.1344430192126 1.38 1.38
"Zea" "AC184168.3_FGT004.v6a" 1 "5" 60795559 42.4107142857143 NA 54.0540540540541 NA 0.32 0.32
"Zea" "AC184702.3_FGT001.v6a" 3 "5" 169976035.5 45.7735518858396 4.86683769570618 44.6358618233618 3.70963526827911 1.49 1.49
"Zea" "AC184703.5_FGT001.v6a" 1 "5" 139877799 60.8695652173913 NA 61.7886178861789 NA -0.44 -0.44
